component_name,source_location,category,variants,sizes,states,usage_locations,figma_recommendation,notes
PricesModal,/Users/musatafa/school-app/app/[locale]/salaries/_components/PricesModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / PricesModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PrintModal,/Users/musatafa/school-app/app/[locale]/salaries/_components/PrintModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / PrintModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
QuickAccessGrid,/Users/musatafa/school-app/app/[locale]/salaries/_components/QuickAccessGrid.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / QuickAccessGrid / composite,Feature-specific composite; rebuild after shared primitives and shell.
ReportsSection,/Users/musatafa/school-app/app/[locale]/salaries/_components/ReportsSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / ReportsSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
SalariesSidebar,/Users/musatafa/school-app/app/[locale]/salaries/_components/SalariesSidebar.tsx,navigation-layout,role=employee|admin|super_admin; state=desktop|mobile,224 desktop width; 280 mobile drawer,default|hover|active|current|mobile-open,salaries,CMP / SalariesSidebar / navigation-layout,Feature-specific composite; rebuild after shared primitives and shell.
ScheduleSection,/Users/musatafa/school-app/app/[locale]/salaries/_components/ScheduleSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / ScheduleSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
SettingsSection,/Users/musatafa/school-app/app/[locale]/salaries/_components/SettingsSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / SettingsSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
StatsCards,/Users/musatafa/school-app/app/[locale]/salaries/_components/StatsCards.tsx,summary-card,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|selected|loading|empty,salaries,CMP / StatsCards / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
TeacherDetailPanel,/Users/musatafa/school-app/app/[locale]/salaries/_components/TeacherDetailPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / TeacherDetailPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
TeacherDropdownMenu,/Users/musatafa/school-app/app/[locale]/salaries/_components/TeacherDropdownMenu.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / TeacherDropdownMenu / composite,Feature-specific composite; rebuild after shared primitives and shell.
TeacherModal,/Users/musatafa/school-app/app/[locale]/salaries/_components/TeacherModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / TeacherModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
TeachersTable,/Users/musatafa/school-app/app/[locale]/salaries/_components/TeachersTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,salaries,CMP / TeachersTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
AccountCardModal,/Users/musatafa/school-app/app/[locale]/students/_components/AccountCardModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / AccountCardModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
AddStudentModal,/Users/musatafa/school-app/app/[locale]/students/_components/AddStudentModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / AddStudentModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
DeleteConfirmModal,/Users/musatafa/school-app/app/[locale]/students/_components/DeleteConfirmModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / DeleteConfirmModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
EditStudentModal,/Users/musatafa/school-app/app/[locale]/students/_components/EditStudentModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / EditStudentModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
ImportExcelModal,/Users/musatafa/school-app/app/[locale]/students/_components/ImportExcelModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,students,CMP / ImportExcelModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
StudentDropdownMenu,/Users/musatafa/school-app/app/[locale]/students/_components/StudentDropdownMenu.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,students,CMP / StudentDropdownMenu / composite,Feature-specific composite; rebuild after shared primitives and shell.
StudentsPageStyles,/Users/musatafa/school-app/app/[locale]/students/_components/StudentsPageStyles.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,students,CMP / StudentsPageStyles / composite,Feature-specific composite; rebuild after shared primitives and shell.
StudentsStats,/Users/musatafa/school-app/app/[locale]/students/_components/StudentsStats.tsx,summary-card,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|selected|loading|empty,students,CMP / StudentsStats / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
StudentsTable,/Users/musatafa/school-app/app/[locale]/students/_components/StudentsTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,students,CMP / StudentsTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
StudentsTabs,/Users/musatafa/school-app/app/[locale]/students/_components/StudentsTabs.tsx,composite,tab item set; state=default|active,content-driven,default|loading|error|empty|success,students,CMP / StudentsTabs / composite,Feature-specific composite; rebuild after shared primitives and shell.
StudentsToolbar,/Users/musatafa/school-app/app/[locale]/students/_components/StudentsToolbar.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,students,CMP / StudentsToolbar / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
DeleteConfirmDialog,/Users/musatafa/school-app/app/[locale]/super-admin/_components/DeleteConfirmDialog.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,super-admin,CMP / DeleteConfirmDialog / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
OverviewTab,/Users/musatafa/school-app/app/[locale]/super-admin/_components/OverviewTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / OverviewTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
SchoolForm,/Users/musatafa/school-app/app/[locale]/super-admin/_components/SchoolForm.tsx,form-field,route-specific composition,content-driven,default|hover|focus|filled|disabled|error|success,super-admin,CMP / SchoolForm / form-field,Feature-specific composite; rebuild after shared primitives and shell.
SchoolsTab,/Users/musatafa/school-app/app/[locale]/super-admin/_components/SchoolsTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / SchoolsTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
SubscriptionsTab,/Users/musatafa/school-app/app/[locale]/super-admin/_components/SubscriptionsTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / SubscriptionsTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
UserForm,/Users/musatafa/school-app/app/[locale]/super-admin/_components/UserForm.tsx,form-field,route-specific composition,content-driven,default|hover|focus|filled|disabled|error|success,super-admin,CMP / UserForm / form-field,Feature-specific composite; rebuild after shared primitives and shell.
UsersTab,/Users/musatafa/school-app/app/[locale]/super-admin/_components/UsersTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / UsersTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
ui,/Users/musatafa/school-app/app/[locale]/super-admin/_components/ui.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / ui / composite,Feature-specific composite; rebuild after shared primitives and shell.
AuditLogTab,/Users/musatafa/school-app/app/[locale]/super-admin/components/AuditLogTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / AuditLogTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
BranchesTab,/Users/musatafa/school-app/app/[locale]/super-admin/components/BranchesTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / BranchesTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
MonitoringTab,/Users/musatafa/school-app/app/[locale]/super-admin/components/MonitoringTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / MonitoringTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
NotificationsTab,/Users/musatafa/school-app/app/[locale]/super-admin/components/NotificationsTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / NotificationsTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
OverviewCharts,/Users/musatafa/school-app/app/[locale]/super-admin/components/OverviewCharts.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / OverviewCharts / composite,Feature-specific composite; rebuild after shared primitives and shell.
RolesTab,/Users/musatafa/school-app/app/[locale]/super-admin/components/RolesTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / RolesTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
TrashTab,/Users/musatafa/school-app/app/[locale]/super-admin/components/TrashTab.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / TrashTab / composite,Feature-specific composite; rebuild after shared primitives and shell.
UI,/Users/musatafa/school-app/app/[locale]/super-admin/components/UI.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,super-admin,CMP / UI / composite,Feature-specific composite; rebuild after shared primitives and shell.
AccountCardModal,/Users/musatafa/school-app/app/[locale]/teachers/_components/AccountCardModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,teachers,CMP / AccountCardModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
TeacherFormModal,/Users/musatafa/school-app/app/[locale]/teachers/_components/TeacherFormModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,teachers,CMP / TeacherFormModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
TeacherImportModal,/Users/musatafa/school-app/app/[locale]/teachers/_components/TeacherImportModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,teachers,CMP / TeacherImportModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
TeachersActions,/Users/musatafa/school-app/app/[locale]/teachers/_components/TeachersActions.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,teachers,CMP / TeachersActions / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
TeachersFilters,/Users/musatafa/school-app/app/[locale]/teachers/_components/TeachersFilters.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,teachers,CMP / TeachersFilters / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
TeachersStats,/Users/musatafa/school-app/app/[locale]/teachers/_components/TeachersStats.tsx,summary-card,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|selected|loading|empty,teachers,CMP / TeachersStats / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
TeachersTable,/Users/musatafa/school-app/app/[locale]/teachers/_components/TeachersTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,teachers,CMP / TeachersTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
ui,/Users/musatafa/school-app/app/[locale]/teachers/_components/ui.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,teachers,CMP / ui / composite,Feature-specific composite; rebuild after shared primitives and shell.
